date,title,amount
2025-01-24,Amazonas Leste - Parcela 1/10,360.00
2025-01-24,Amazonprimebr,19.90
2025-01-24,Uber* Trip,23.12
2025-01-23,Vindi *Capper,39.95
2025-01-23,Trimais Supermercados,344.11
2025-01-22,Pagamento recebido,-5000.00
2025-01-22,Uber Uber *Trip Help.U,27.00
2025-01-21,sem Parar * Abastece,243.37
2025-01-20,Ifood *Ifood,68.00
2025-01-20,Apple.Com/Bill,21.90
2025-01-20,Ifd*Parada do Sushi,84.30
2025-01-19,Mini Extra,219.47
2025-01-19,Agua de Coco Horto,10.00
2025-01-19,Google Youtube,2.00
2025-01-15,Uber Uber *One Help.Ub,19.90
2025-01-14,Ifd*e J Alimentos,77.80
2025-01-14,Google Youtube Music,21.90
2025-01-13,Inovapina,12.99
2025-01-13,Amazon Prime Aluguel,39.90
2025-01-13,Amazon Prime Aluguel,6.90
2025-01-12,Rede Papa,187.36
2025-01-12,Mercearia Sao Sebastia,14.00
2025-01-12,Renascer Grafica e Com,28.04
2025-01-12,Mini Extra,98.87
2025-01-12,Rancho da Tirolesa,101.97
2025-01-12,Select Algodoal,6.99
2025-01-11,Google Tinder,77.90
2025-01-09,sem Parar,218.71
2025-01-08,Netflix Entretenimento,59.90
2025-01-06,Doloreshouse,29.00
2025-01-06,Piracicaba Drive,48.40
2025-01-05,Dolores Bar,18.00
2025-01-05,Doloreshouse,17.00
2025-01-05,Teresinhapacheco,48.84
2025-01-05,Pesqueiro Pekos,57.20
2025-01-05,Oxxo Alberto Savoy,24.00
2025-01-05,Plbareeventosltda,82.95
2025-01-05,Lvi Doce Encanto,5.98
2025-01-05,Berlinf*Auto Posto Cae,200.77
2025-01-01,Google Disney,62.90
2025-01-01,Loteriasonlinehpeb,35.00
2024-12-31,Wellhub Gympass Br Gym,85.90
2024-12-31,Google Joyride Gmbh,16.99
2024-12-31,Google Badoo,24.90
2024-12-30,Mini Extra,86.24
2024-12-30,Habc,95.00
2024-12-30,Google Bumble,29.90
2024-12-30,Drogasil3486,26.23
2024-12-30,Pagamento recebido,-1339.13
2024-12-29,Arielcamposdos,68.97
2024-12-29,Google Wm Max Llc,39.90
2024-12-29,Amazon Music,21.90
2024-12-29,Gspostode,9.97
2024-12-29,Corporativascom,46.00
2024-12-29,Google Tinder Dating,124.99
2024-12-29,Pizzariabomjardim,18.00
2024-12-29,Vitoriacaramatti,58.30
2024-12-29,Buteco do Fortao,63.58
2024-12-28,Drogasil3486,78.48
2024-12-28,Felipeferreirades,70.00
2024-12-26,Inovapina,12.99
2024-12-26,Mercadolivre*Mercadol,32.88
2024-12-25,Casas Bahia - Parcela 2/12,632.88
2024-12-25,Pneustore Cpx - Parcela 3/6,372.76
2024-12-25,Insider Come*Insiderst - Parcela 3/3,118.91
2024-12-25,Amazonas Leste - Parcela 7/10,243.00
2024-12-25,Mini Extra,180.64
2024-12-25,Berlinf*Auto Posto Cae,244.37
2024-12-25,Lojas Renner Fl - Parcela 2/3,123.20
2024-12-25,Leroy Merlin,103.80
2024-12-25,Mercadolivre*Ebazarco - Parcela 3/10,31.17
2024-12-25,Hub Fin*Magazineluiza - Parcela 6/10,369.90
2024-12-25,Alura - Parcela 9/12,109.00
2024-12-25,Mercadolivre*Tapetesm - Parcela 2/7,33.14
2024-12-25,Agua de Coco Verde do,8.00
2024-12-25,Centauro Ce75 - Parcela 2/5,119.99
2024-12-25,Helpa Lauzane Construc,19.98
2024-12-25,Chilli Beans - Parcela 5/8,101.74
